product_id,step_id,tool_type,process_time_hours_per_unit
P1,S1,T4,1.19
P1,S1,T3,1.1
P1,S2,T1,0.94
P1,S2,T5,1.99
P1,S2,T2,1.65
P1,S3,T4,2.16
P1,S3,T1,1.33
P1,S4,T5,1.07
P1,S4,T3,0.9
P1,S4,T4,1.73
P1,S5,T1,1.33
P1,S5,T2,1.43
P1,S5,T5,1.97
P1,S6,T3,1.09
P1,S6,T5,1.17
P2,S1,T5,1.55
P2,S1,T2,1.14
P2,S2,T4,1.76
P2,S2,T3,1.11
P2,S2,T5,1.25
P2,S3,T2,1.93
P2,S3,T1,1.36
P2,S4,T2,1.1
P2,S4,T3,1.5
P2,S5,T2,1.15
P2,S5,T3,1.59
P2,S5,T1,1.17
P2,S6,T5,1.11
P2,S6,T4,2.2
P2,S6,T2,1.51
P3,S1,T1,1.01
P3,S1,T5,1.02
P3,S2,T5,1.33
P3,S2,T1,2.19
P3,S2,T2,1.54
P3,S3,T1,1.88
P3,S3,T3,1.28
P3,S4,T4,0.8
P3,S4,T2,1.81
P3,S4,T5,1.81
P3,S5,T5,2.02
P3,S5,T1,1.22
P3,S6,T2,1.87
P3,S6,T3,1.56
P4,S1,T5,1.48
P4,S1,T3,0.96
P4,S2,T3,1.14
P4,S2,T2,1.59
P4,S2,T1,0.91
P4,S3,T1,1.72
P4,S3,T2,2.13
P4,S3,T5,1.03
P4,S4,T2,1.24
P4,S4,T5,2.19
P4,S4,T3,1.71
P4,S5,T5,1.15
P4,S5,T4,0.89
P4,S5,T1,0.83
P4,S6,T5,0.81
P4,S6,T2,1.79
P5,S1,T2,2.07
P5,S1,T1,2.0
P5,S2,T5,1.19
P5,S2,T2,1.48
P5,S3,T5,1.14
P5,S3,T4,1.46
P5,S4,T2,1.72
P5,S4,T1,1.3
P5,S4,T4,1.38
P5,S5,T1,1.36
P5,S5,T5,1.28
P5,S6,T2,1.07
P5,S6,T5,1.43
P6,S1,T2,1.15
P6,S1,T3,2.09
P6,S1,T5,1.42
P6,S2,T1,2.16
P6,S2,T5,2.1
P6,S3,T2,1.48
P6,S3,T4,1.1
P6,S4,T1,0.8
P6,S4,T2,1.35
P6,S4,T4,2.1
P6,S5,T3,2.14
P6,S5,T4,2.19
P6,S5,T5,1.58
P6,S6,T2,1.1
P6,S6,T5,0.88
P6,S6,T4,1.83
P7,S1,T3,0.87
P7,S1,T1,1.47
P7,S2,T1,1.99
P7,S2,T5,0.9
P7,S3,T2,0.97
P7,S3,T4,2.05
P7,S4,T5,1.67
P7,S4,T1,1.39
P7,S5,T3,1.8
P7,S5,T2,1.13
P7,S5,T5,1.35
P7,S6,T4,0.81
P7,S6,T3,1.67
P7,S6,T1,1.59
P8,S1,T1,1.51
P8,S1,T2,0.99
P8,S2,T1,1.2
P8,S2,T2,1.41
P8,S2,T4,1.56
P8,S3,T5,1.94
P8,S3,T1,1.22
P8,S3,T3,1.73
P8,S4,T3,2.05
P8,S4,T1,1.84
P8,S5,T3,1.65
P8,S5,T5,1.8
P8,S6,T3,1.15
P8,S6,T4,2.07
